"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"kibuzzard-6379AEAF","kibuzzard-6379AEAF","79.9034mm","36.6826mm","79.9034mm","36.6826mm","79.9034mm","36.6826mm","T","0","G***",
"kibuzzard-6379AEB5","kibuzzard-6379AEB5","19.934mm","41.661094mm","19.934mm","41.661094mm","19.934mm","41.661094mm","T","0","G***",
"kibuzzard-6379AEB9","kibuzzard-6379AEB9","19.934mm","39.2734mm","19.934mm","39.2734mm","19.934mm","39.2734mm","T","0","G***",
"kibuzzard-6379AEBD","kibuzzard-6379AEBD","19.934093mm","36.874335mm","19.934093mm","36.874335mm","19.934093mm","36.874335mm","T","0","G***",
"kibuzzard-6379AEE6","kibuzzard-6379AEE6","61.7932mm","48.5952mm","61.7932mm","48.5952mm","61.7932mm","48.5952mm","T","180","G***",
"kibuzzard-6358CBD1","kibuzzard-6358CBD1","87.9552mm","31.2724mm","87.9552mm","31.2724mm","87.9552mm","31.2724mm","T","90","G***",
"kibuzzard-6358CBDF","kibuzzard-6358CBDF","85.4152mm","31.382731mm","85.4152mm","31.382731mm","85.4152mm","31.382731mm","T","90","G***",
"kibuzzard-6358CBEF","kibuzzard-6358CBEF","90.4952mm","30.140512mm","90.4952mm","30.140512mm","90.4952mm","30.140512mm","T","90","G***",
"kibuzzard-6358CC01","kibuzzard-6358CC01","93.0352mm","30.177819mm","93.0352mm","30.177819mm","93.0352mm","30.177819mm","T","90","G***",
"kibuzzard-6358CC12","kibuzzard-6358CC12","95.5752mm","30.136544mm","95.5752mm","30.136544mm","95.5752mm","30.136544mm","T","90","G***",
"kibuzzard-635D2D2A","kibuzzard-635D2D2A","27.046mm","27.13855mm","27.046mm","27.13855mm","27.046mm","27.13855mm","T","-90","G***",
"kibuzzard-635D2D3A","kibuzzard-635D2D3A","29.84mm","27.129819mm","29.84mm","27.129819mm","29.84mm","27.129819mm","T","-90","G***",
"kibuzzard-635D2D4F","kibuzzard-635D2D4F","32.38mm","27.31mm","32.38mm","27.31mm","32.38mm","27.31mm","T","-90","G***",
"kibuzzard-635D2D9C","kibuzzard-635D2D9C","34.92mm","27.148075mm","34.92mm","27.148075mm","34.92mm","27.148075mm","T","-90","G***",
"kibuzzard-635E2F9D","kibuzzard-635E2F9D","3.25mm","11.0mm","3.25mm","11.0mm","3.25mm","11.0mm","T","0","G***",
"kibuzzard-6354ECAF","kibuzzard-6354ECAF","3.25mm","14.5mm","3.25mm","14.5mm","3.25mm","14.5mm","T","0","G***",
"kibuzzard-6354ECBE","kibuzzard-6354ECBE","3.25mm","12.75mm","3.25mm","12.75mm","3.25mm","12.75mm","T","0","G***",
"kibuzzard-6354ECDD","kibuzzard-6354ECDD","3.25mm","9.25mm","3.25mm","9.25mm","3.25mm","9.25mm","T","0","G***",
"R9","R_0805_2012Metric","51.2776mm","40.3402mm","51.2776mm","40.3402mm","51.2776mm","41.2527mm","B","-90","0",
"R12","R_0805_2012Metric","49.3726mm","40.3402mm","49.3726mm","40.3402mm","49.3726mm","41.2527mm","B","-90","0",
"U1","SOIC-8_5.23x5.23mm_P1.27mm","74.0614mm","34.2442mm","74.0614mm","34.2442mm","72.1564mm","37.8442mm","B","-90","W25Q32JV",
"U3","SOIC-16_3.9x9.9mm_P1.27mm","43.81mm","34.93mm","43.81mm","34.93mm","46.285mm","39.375mm","B","180","CH9329",
"REF**","OSHW-Logo_5.7x6mm_Copper","96.447909mm","12.2478mm","96.447909mm","12.2478mm","96.447909mm","12.2478mm","B","-90","OSHW-Logo_5.7x6mm_Copper",
"REF**","KiCad-Logo2_5mm_Copper","96.4642mm","22.9412mm","96.4642mm","22.9412mm","96.4642mm","22.9412mm","B","-90","KiCad-Logo2_5mm_Copper",
"kibuzzard-6379AD0A","kibuzzard-6379AD0A","5.112029mm","40.558mm","5.112029mm","40.558mm","5.112029mm","40.558mm","B","180","G***",
"kibuzzard-6379AD17","kibuzzard-6379AD17","5.130206mm","45.558mm","5.130206mm","45.558mm","5.130206mm","45.558mm","B","180","G***",
"kibuzzard-6379AD2A","kibuzzard-6379AD2A","60.32mm","42.676405mm","60.32mm","42.676405mm","60.32mm","42.676405mm","B","-90","G***",
"kibuzzard-6379AD65","kibuzzard-6379AD65","67.559mm","46.209624mm","67.559mm","46.209624mm","67.559mm","46.209624mm","B","90","G***",
"kibuzzard-6379AD71","kibuzzard-6379AD71","75.25mm","46.694049mm","75.25mm","46.694049mm","75.25mm","46.694049mm","B","90","G***",
"kibuzzard-6379AD8B","kibuzzard-6379AD8B","94.9213mm","40.518mm","94.9213mm","40.518mm","94.9213mm","40.518mm","B","180","G***",
"kibuzzard-6379AD90","kibuzzard-6379AD90","94.948288mm","45.554mm","94.948288mm","45.554mm","94.948288mm","45.554mm","B","180","G***",
