"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"kibuzzard-63A1C2D7","kibuzzard-63A1C2D7","49.995mm","46.025126mm","49.995mm","46.025126mm","49.995mm","46.025126mm","T","0","G***",
"kibuzzard-6379A323","kibuzzard-6379A323","98.1152mm","73.179132mm","98.1152mm","73.179132mm","98.1152mm","73.179132mm","T","90","G***",
"kibuzzard-6379AB1D","kibuzzard-6379AB1D","2.179126mm","29.364926mm","2.179126mm","29.364926mm","2.179126mm","29.364926mm","T","-90","G***",
"kibuzzard-6379AB44","kibuzzard-6379AB44","63.875726mm","29.339526mm","63.875726mm","29.339526mm","63.875726mm","29.339526mm","T","-90","G***",
"kibuzzard-6379ABBC","kibuzzard-6379ABBC","33.2944mm","48.897526mm","33.2944mm","48.897526mm","33.2944mm","48.897526mm","T","0","G***",
"kibuzzard-6379ABEB","kibuzzard-6379ABEB","21.3564mm","48.897526mm","21.3564mm","48.897526mm","21.3564mm","48.897526mm","T","0","G***",
"kibuzzard-6379AC10","kibuzzard-6379AC10","66.8732mm","48.897526mm","66.8732mm","48.897526mm","66.8732mm","48.897526mm","T","0","G***",
"kibuzzard-6379AC21","kibuzzard-6379AC21","79.0144mm","48.897526mm","79.0144mm","48.897526mm","79.0144mm","48.897526mm","T","0","G***",
"kibuzzard-6379AEA3","kibuzzard-6379AEA3","79.9034mm","84.482926mm","79.9034mm","84.482926mm","79.9034mm","84.482926mm","T","0","G***",
"kibuzzard-6379AEAA","kibuzzard-6379AEAA","79.9034mm","82.095326mm","79.9034mm","82.095326mm","79.9034mm","82.095326mm","T","0","G***",
"kibuzzard-6379AEAF","kibuzzard-6379AEAF","79.9034mm","79.707726mm","79.9034mm","79.707726mm","79.9034mm","79.707726mm","T","0","G***",
"kibuzzard-6379AEB5","kibuzzard-6379AEB5","19.934mm","84.68622mm","19.934mm","84.68622mm","19.934mm","84.68622mm","T","0","G***",
"kibuzzard-6379AEB9","kibuzzard-6379AEB9","19.934mm","82.298526mm","19.934mm","82.298526mm","19.934mm","82.298526mm","T","0","G***",
"kibuzzard-6379AEBD","kibuzzard-6379AEBD","19.934093mm","79.899461mm","19.934093mm","79.899461mm","19.934093mm","79.899461mm","T","0","G***",
"kibuzzard-6379AEE6","kibuzzard-6379AEE6","61.7932mm","91.620326mm","61.7932mm","91.620326mm","61.7932mm","91.620326mm","T","180","G***",
"kibuzzard-6358CBD1","kibuzzard-6358CBD1","87.9552mm","74.297526mm","87.9552mm","74.297526mm","87.9552mm","74.297526mm","T","90","G***",
"kibuzzard-6358CBDF","kibuzzard-6358CBDF","85.4152mm","74.407857mm","85.4152mm","74.407857mm","85.4152mm","74.407857mm","T","90","G***",
"kibuzzard-6358CBEF","kibuzzard-6358CBEF","90.4952mm","73.165638mm","90.4952mm","73.165638mm","90.4952mm","73.165638mm","T","90","G***",
"kibuzzard-6358CC01","kibuzzard-6358CC01","93.0352mm","73.202945mm","93.0352mm","73.202945mm","93.0352mm","73.202945mm","T","90","G***",
"kibuzzard-6358CC12","kibuzzard-6358CC12","95.5752mm","73.16167mm","95.5752mm","73.16167mm","95.5752mm","73.16167mm","T","90","G***",
"kibuzzard-635D2D2A","kibuzzard-635D2D2A","27.046mm","70.163676mm","27.046mm","70.163676mm","27.046mm","70.163676mm","T","-90","G***",
"kibuzzard-635D2D3A","kibuzzard-635D2D3A","29.84mm","70.154945mm","29.84mm","70.154945mm","29.84mm","70.154945mm","T","-90","G***",
"kibuzzard-635D2D4F","kibuzzard-635D2D4F","32.38mm","70.335126mm","32.38mm","70.335126mm","32.38mm","70.335126mm","T","-90","G***",
"kibuzzard-635D2D9C","kibuzzard-635D2D9C","34.92mm","70.173201mm","34.92mm","70.173201mm","34.92mm","70.173201mm","T","-90","G***",
"kibuzzard-635E2F9D","kibuzzard-635E2F9D","3.25mm","54.025126mm","3.25mm","54.025126mm","3.25mm","54.025126mm","T","0","G***",
"kibuzzard-6354EA44","kibuzzard-6354EA44","33.040126mm","39.855126mm","33.040126mm","39.855126mm","33.040126mm","39.855126mm","T","180","G***",
"kibuzzard-6354EB36","kibuzzard-6354EB36","94.475337mm","23.025126mm","94.475337mm","23.025126mm","94.475337mm","23.025126mm","T","0","G***",
"kibuzzard-6354EB60","kibuzzard-6354EB60","94.407348mm","18.550252mm","94.407348mm","18.550252mm","94.407348mm","18.550252mm","T","180","G***",
"kibuzzard-6354ECAF","kibuzzard-6354ECAF","3.25mm","57.525126mm","3.25mm","57.525126mm","3.25mm","57.525126mm","T","0","G***",
"kibuzzard-6354ECBE","kibuzzard-6354ECBE","3.25mm","55.775126mm","3.25mm","55.775126mm","3.25mm","55.775126mm","T","0","G***",
"kibuzzard-6354ECDD","kibuzzard-6354ECDD","3.25mm","52.275126mm","3.25mm","52.275126mm","3.25mm","52.275126mm","T","0","G***",
"R9","R_0805_2012Metric","51.2776mm","83.365326mm","51.2776mm","83.365326mm","51.2776mm","84.277826mm","B","-90","0",
"R12","R_0805_2012Metric","49.3726mm","83.365326mm","49.3726mm","83.365326mm","49.3726mm","84.277826mm","B","-90","0",
"U1","SOIC-8_5.23x5.23mm_P1.27mm","74.0614mm","77.269326mm","74.0614mm","77.269326mm","72.1564mm","80.869326mm","B","-90","W25Q32JV",
"U3","SOIC-16_3.9x9.9mm_P1.27mm","43.81mm","77.955126mm","43.81mm","77.955126mm","46.285mm","82.400126mm","B","180","CH9329",
"REF**","OSHW-Logo_5.7x6mm_Copper","96.447909mm","55.272926mm","96.447909mm","55.272926mm","96.447909mm","55.272926mm","B","-90","OSHW-Logo_5.7x6mm_Copper",
"REF**","KiCad-Logo2_5mm_Copper","96.4642mm","65.966326mm","96.4642mm","65.966326mm","96.4642mm","65.966326mm","B","-90","KiCad-Logo2_5mm_Copper",
"kibuzzard-6379AD0A","kibuzzard-6379AD0A","5.112029mm","83.583126mm","5.112029mm","83.583126mm","5.112029mm","83.583126mm","B","180","G***",
"kibuzzard-6379AD17","kibuzzard-6379AD17","5.130206mm","88.583126mm","5.130206mm","88.583126mm","5.130206mm","88.583126mm","B","180","G***",
"kibuzzard-6379AD2A","kibuzzard-6379AD2A","60.32mm","85.701531mm","60.32mm","85.701531mm","60.32mm","85.701531mm","B","-90","G***",
"kibuzzard-6379AD65","kibuzzard-6379AD65","67.559mm","89.23475mm","67.559mm","89.23475mm","67.559mm","89.23475mm","B","90","G***",
"kibuzzard-6379AD71","kibuzzard-6379AD71","75.25mm","89.719175mm","75.25mm","89.719175mm","75.25mm","89.719175mm","B","90","G***",
"kibuzzard-6379AD8B","kibuzzard-6379AD8B","94.9213mm","83.543126mm","94.9213mm","83.543126mm","94.9213mm","83.543126mm","B","180","G***",
"kibuzzard-6379AD90","kibuzzard-6379AD90","94.948288mm","88.579126mm","94.948288mm","88.579126mm","94.948288mm","88.579126mm","B","180","G***",
"kibuzzard-6379B29B","kibuzzard-6379B29B","32.9896mm","55.882526mm","32.9896mm","55.882526mm","32.9896mm","55.882526mm","B","180","G***",
"kibuzzard-6379B2A2","kibuzzard-6379B2A2","21.2548mm","55.882526mm","21.2548mm","55.882526mm","21.2548mm","55.882526mm","B","180","G***",
"kibuzzard-6379B2B1","kibuzzard-6379B2B1","25.903mm","48.719726mm","25.903mm","48.719726mm","25.903mm","48.719726mm","B","-90","G***",
"kibuzzard-6379B2D0","kibuzzard-6379B2D0","68.1432mm","56.009526mm","68.1432mm","56.009526mm","68.1432mm","56.009526mm","B","180","G***",
"kibuzzard-6379B2D8","kibuzzard-6379B2D8","77.6682mm","55.882526mm","77.6682mm","55.882526mm","77.6682mm","55.882526mm","B","180","G***",
"kibuzzard-635D2DDA","kibuzzard-635D2DDA","37.333mm","91.671126mm","37.333mm","91.671126mm","37.333mm","91.671126mm","B","180","G***",
"kibuzzard-635D2DF8","kibuzzard-635D2DF8","27.173mm","91.671126mm","27.173mm","91.671126mm","27.173mm","91.671126mm","B","180","G***",
"kibuzzard-635D2E5E","kibuzzard-635D2E5E","57.653mm","85.250482mm","57.653mm","85.250482mm","57.653mm","85.250482mm","B","-90","G***",
"kibuzzard-635D2E8C","kibuzzard-635D2E8C","62.86mm","84.305126mm","62.86mm","84.305126mm","62.86mm","84.305126mm","B","-90","G***",
"kibuzzard-6354F005","kibuzzard-6354F005","5.456mm","86.083126mm","5.456mm","86.083126mm","5.456mm","86.083126mm","B","180","G***",
"kibuzzard-6354F0BA","kibuzzard-6354F0BA","72.639mm","88.094488mm","72.639mm","88.094488mm","72.639mm","88.094488mm","B","90","G***",
"kibuzzard-6354F0CA","kibuzzard-6354F0CA","70.0228mm","88.169101mm","70.0228mm","88.169101mm","70.0228mm","88.169101mm","B","90","G***",
"kibuzzard-6354F197","kibuzzard-6354F197","94.78545mm","86.083126mm","94.78545mm","86.083126mm","94.78545mm","86.083126mm","B","180","G***",
"Through Hole Items ",
"H1","HO","18.0mm","89.525126mm","18.0mm","89.525126mm","18.0mm","89.525126mm","T","0","MountingHole",
"H2","HO","82.0mm","89.525126mm","82.0mm","89.525126mm","82.0mm","89.525126mm","T","0","MountingHole",
"H3","HO","3.5mm","46.525126mm","3.5mm","46.525126mm","3.5mm","46.525126mm","T","0","MountingHole",
"H4","HO","96.5mm","46.525126mm","96.5mm","46.525126mm","96.5mm","46.525126mm","T","0","MountingHole",
"H5","HO","63.025126mm","38.025126mm","63.025126mm","38.025126mm","63.025126mm","38.025126mm","T","180","MountingHole",
"H6","HO","3.525126mm","38.025126mm","3.525126mm","38.025126mm","3.525126mm","38.025126mm","T","180","MountingHole",
"H7","HO","32.865126mm","9.025126mm","32.865126mm","9.025126mm","32.865126mm","9.025126mm","T","0","MountingHole",
"H8","HO","71.474874mm","25.025126mm","71.474874mm","25.025126mm","71.474874mm","25.025126mm","T","90","MountingHole",
"H9","HO","71.474874mm","38.025126mm","71.474874mm","38.025126mm","71.474874mm","38.025126mm","T","90","MountingHole",
"H10","HO","71.449748mm","3.550252mm","71.449748mm","3.550252mm","71.449748mm","3.550252mm","T","90","MountingHole",
"H11","HO","71.449748mm","16.550252mm","71.449748mm","16.550252mm","71.449748mm","16.550252mm","T","90","MountingHole",
"J1","MICRO-USB-SMD_MICRO-4P-DIP-JB","50.0mm","89.361126mm","50.0mm","89.361126mm","51.3mm","87.961126mm","T","180","USB_B_Micro",
"J2","PinHeader_2x02_P2.54mm_Horizontal","28.415mm","55.895126mm","28.415mm","55.895126mm","28.415mm","55.895126mm","T","-90","Conn_02x02_Odd_Even",
"J3","PinHeader_2x04_P2.54mm_Horizontal","12.568mm","81.003126mm","12.568mm","81.003126mm","12.568mm","81.003126mm","T","180","Conn_02x04_Odd_Even",
"J4","PinHeader_2x02_P2.54mm_Horizontal","74.135mm","55.895126mm","74.135mm","55.895126mm","74.135mm","55.895126mm","T","-90","Conn_02x02_Odd_Even",
"J5","PinHeader_2x04_P2.54mm_Horizontal","87.498mm","88.603126mm","87.498mm","88.603126mm","87.498mm","88.603126mm","T","0","Conn_02x04_Odd_Even",
"J6","PinSocket_2x04_P2.54mm_Horizontal","93.224874mm","27.440126mm","93.224874mm","27.440126mm","93.224874mm","27.440126mm","T","180","Conn_02x04_Odd_Even",
"J7","PinSocket_2x02_P2.54mm_Horizontal","8.865126mm","11.550126mm","8.865126mm","11.550126mm","8.865126mm","11.550126mm","T","90","Conn_02x02_Odd_Even",
"J8","PinSocket_2x02_P2.54mm_Horizontal","54.585126mm","11.550126mm","54.585126mm","11.550126mm","54.585126mm","11.550126mm","T","90","Conn_02x02_Odd_Even",
"J9","PinSocket_2x04_P2.54mm_Horizontal","93.199748mm","6.150252mm","93.199748mm","6.150252mm","93.199748mm","6.150252mm","T","180","Conn_02x04_Odd_Even",
